contract,method,seed,perturbation_group,mean_abs_pred_change,mean_perturbation_l2_distance,standardized_sensitivity,dimension_normalized_sensitivity
GROUP_complete,supervised,202,water_balance,0.2422940430433854,1.5858598808295632,0.152784017032128,0.0605735107608463
GROUP_complete,supervised,303,all_physical,0.7403347928036925,1.7474744654062877,0.423659863110584,0.1057621132576703
GROUP_complete,supervised,303,all_support,0.2250683602466378,0.622478813305368,0.3615679046988945,0.0750227867488792
GROUP_complete,supervised,303,observation_support,0.2250683602466378,0.622478813305368,0.3615679046988945,0.0750227867488792
GROUP_complete,supervised,303,radiation,0.5224172210180631,0.552067559703673,0.9462921916613408,0.5224172210180631
GROUP_complete,supervised,303,temperature,0.2092468495010047,0.7429407466547211,0.2816467537187992,0.1046234247505023
GROUP_complete,supervised,303,water_balance,0.2664005307741062,1.401039490182449,0.1901449121460696,0.0666001326935265
SPATIAL_complete,combined_kd,101,all_physical,0.5495797511070005,4.647441150897773,0.1182542679428478,0.0785113930152857
SPATIAL_complete,combined_kd,101,all_support,0.6875168508098971,1.4602701610499995,0.4708148321780888,0.229172283603299
SPATIAL_complete,combined_kd,101,observation_support,0.6875168508098971,1.4602701610499995,0.4708148321780888,0.229172283603299
SPATIAL_complete,combined_kd,101,radiation,0.1342813545657742,1.958320449243252,0.0685696534587051,0.1342813545657742
SPATIAL_complete,combined_kd,101,temperature,0.9454032067329652,2.145152565416429,0.4407160693248861,0.4727016033664826
SPATIAL_complete,combined_kd,101,water_balance,0.2627958982221542,3.555538532609975,0.0739117002422619,0.0656989745555385
SPATIAL_complete,combined_kd,202,all_physical,0.4045247570160896,4.647441150897773,0.0870424700133875,0.0577892510022985
SPATIAL_complete,combined_kd,202,all_support,0.6762930193255025,1.4602701610499995,0.4631286986229687,0.2254310064418341
SPATIAL_complete,combined_kd,202,observation_support,0.6762930193255025,1.4602701610499995,0.4631286986229687,0.2254310064418341
SPATIAL_complete,combined_kd,202,radiation,0.398499188884612,1.958320449243252,0.2034902863003853,0.398499188884612
SPATIAL_complete,combined_kd,202,temperature,0.6705432861082016,2.145152565416429,0.3125853596234631,0.3352716430541008
SPATIAL_complete,combined_kd,202,water_balance,0.3304270313632104,3.555538532609975,0.0929330475067484,0.0826067578408026
SPATIAL_complete,combined_kd,303,all_physical,0.9393560001927036,4.647441150897773,0.2021232694922969,0.1341937143132433
SPATIAL_complete,combined_kd,303,all_support,0.752297293755316,1.4602701610499995,0.515176789761879,0.2507657645851053
SPATIAL_complete,combined_kd,303,observation_support,0.752297293755316,1.4602701610499995,0.515176789761879,0.2507657645851053
SPATIAL_complete,combined_kd,303,radiation,0.5582396964873036,1.958320449243252,0.2850604438628711,0.5582396964873036
SPATIAL_complete,combined_kd,303,temperature,1.0702084725902927,2.145152565416429,0.4988962043275644,0.5351042362951464
SPATIAL_complete,combined_kd,303,water_balance,1.143363098944387,3.555538532609975,0.321572411171359,0.2858407747360967
SPATIAL_complete,missing_aware,101,all_physical,0.8080052906467069,4.647441150897773,0.1738602522143709,0.1154293272352438
SPATIAL_complete,missing_aware,101,all_support,0.3105454444885254,1.4602701610499995,0.2126630076896296,0.1035151481628418
SPATIAL_complete,missing_aware,101,observation_support,0.3105454444885254,1.4602701610499995,0.2126630076896296,0.1035151481628418
SPATIAL_complete,missing_aware,101,radiation,0.4738722462807932,1.958320449243252,0.2419789092554634,0.4738722462807932
SPATIAL_complete,missing_aware,101,temperature,1.05075196296938,2.145152565416429,0.4898262155843038,0.52537598148469
SPATIAL_complete,missing_aware,101,water_balance,0.4974942245791035,3.555538532609975,0.1399209205627068,0.1243735561447758
SPATIAL_complete,missing_aware,202,all_physical,0.9362139663388652,4.647441150897773,0.201447191247986,0.1337448523341236
SPATIAL_complete,missing_aware,202,all_support,0.5022250183166996,1.4602701610499995,0.3439260978634484,0.1674083394388998
SPATIAL_complete,missing_aware,202,observation_support,0.5022250183166996,1.4602701610499995,0.3439260978634484,0.1674083394388998
SPATIAL_complete,missing_aware,202,radiation,0.9668863511854604,1.958320449243252,0.4937324489250968,0.9668863511854604
